Procédé,Explication
Niveau de langue,"soutenu, courant, familier, argotique..."
Champs lexicaux,éviter d’en mettre plus de deux
Topos / Topoï,"Thèmes récurrents (amour, guerre…)"
Tonalités,"À adapter selon le texte (lyrique, tragique, ironique…)"
Rupture syntaxique,Phrase morcelée – Je ___. Je ___. Nous ___.
Phrase longue / adjectifs nombreux,Volonté de détailler
Ponctuation,Influence le ton et le rythme
Inégalité de parole,Montre un rapport de pouvoir
Voie passive,Il subit – Il était attaché.
Participe passé,Parfois adjectival – qu’il s’était imposé.
Passé,Temps révolu
Passé composé,Impact fort sur le présent
Plus-que-parfait,"Retour plus ancien, parfois emphatique"
Présent de vérité générale,Vérité universelle
Impératif,Donne des ordres → volonté forte
Indicatif / futur,Mode de la certitude
Sensation de réel ou d’irréel,Effet produit selon temps/mode utilisé
Phrase nominale,Sans verbe – Entre ces deux portes.
Groupe nominal,"Lucas, son chien et un mouton mangent."
Phrase emphatique,Ordre inversé pour insistance – Et partout il va me charmant.
Tournure impersonnelle,Il pleut.
Phrase négative,Négation complète
Négation restrictive,Tu n’es qu’un...
Phrase lapidaire,Très courte
Interjection,Ah !
Citation,"Argument d’autorité – “C’est la base”, comme dirait un sage alsacien."
Question rhétorique,N’attend pas de réponse
Didascalie,Indication de mise en scène
Apposition,"Mot ou groupe entre virgules – Allons de mes poireaux, hélas, trop petits."
Antéposition de l’adjectif,secret malheur.
Postposition,faiblesse extrême.
Jeux de mots,"Homophonie, polysémie, etc."
Adjectif qualificatif,Donne une qualité
Adjectif affectif,ma chère.
Adjectif péjoratif / mélioratif,Jugement négatif ou positif
Adjectif substantivé,le misérable.
Substantif,Synonyme chic de « nom »
Néologisme,Mot inventé – phébardage.
Complément circonstanciel,"Temps, lieu, manière, etc."
Complément circonstanciel de temps itératif,sans cesse.
Adverbe d’intensité,"trop, si grave."
Modalisateurs,"Marquent la subjectivité – il semble, peut-être, à peu près."
Comparatif,"Supériorité / infériorité – plus, moins."
Superlatif,"le plus grand, le pire, la meilleure."
Rythme ternaire,"3 éléments pour stabilité – vertu, gloire et beauté."
Pronoms personnels,"je, tu, il..."
Technique du blason,Décrire et embellir le corps – Tes cheveux sont soyeux...
Verbes d’action,Verbes dynamiques
Présentatifs,"c’est, voici, voilà."
Conjonctions de subordination,"puisque, lorsque, bien que…"
Sens factitif,faire + verbe – Il a fait manger de l’herbe au mouton.
